,going left to right per row and then going down each row; the jumping back to column 0 of row i+1,,,,,,,,,,,,,,,
,Location ,time batch (per 15 seconds),,,,,,225,,,,,,,,
row,column,ppk control 1 15 min at 4x speed 3min 52 sec,,,,,,,,,Time per entry,,average time,,,
,,3:21,3:23,,201,203,,804,812,,8,,,,,
4,7,0:10,0:13,,10,13,,40,52,,12,,11,,,
,,0:28,0:32,,28,32,,112,128,,16,,,,,
,,0:33,0:35,,33,35,,132,140,,8,,,,,
,,2:09,2:11,,129,131,,516,524,,8,,,,,
4,8,0:13,0:15,,13,15,,52,60,,8,,8,,,
,,3:07,3:09,,187,189,,748,756,,8,,,,,
4,9,0:20,0:22,,20,22,,80,88,,8,,8,,,
,,0:22,0:24,,22,24,,88,96,,8,,,,,
,,1:25,1:27,,85,87,,340,348,,8,,,,,
,,2:54,2:56,,174,176,,696,704,,8,,,,,
,,3:39,3:41,,219,221,,876,884,,8,,,,,
4,10,0:18,0:22,,18,22,,72,88,,16,,12,,,
,,0:19,0:22,,19,22,,76,88,,12,,,,,
,,0:26,0:28,,26,28,,104,112,,8,,,,,
5,1,0:15,0:20,,15,20,,60,80,,20,,11.42857143,,,
,,0:42,0:44,,42,44,,168,176,,8,,,,,
,,0:54,0:56,,54,56,,216,224,,8,,,,,
,,1:41,1:43,,101,103,,404,412,,8,,,,,
,,2:22,2:24,,142,144,,568,576,,8,,,,,
,,3:34,3:38,,214,218,,856,872,,16,,,,,
,,3:37,3:40,,217,220,,868,880,,12,,,,,
5,2,1:02,1:03,,62,63,,248,252,,4,,10,,,
,,3:22,3:26,,202,206,,808,824,,16,,,,,
5,3,0:04,0:07,,4,7,,16,28,,12,,9.5,,,
,,1:03,1:05,,63,65,,252,260,,8,,,,,
,,1:11,1:15,,71,75,,284,300,,16,,,,,
,,1:31,1:32,,91,92,,364,368,,4,,,,,
,,2:48,2:49,,168,169,,672,676,,4,,,,,
,,2:52,2:54,,172,174,,688,696,,8,,,,,
,,2:56,2:58,,176,178,,704,712,,8,,,,,
,,3:18,3:22,,198,202,,792,808,,16,,,,,
5,4,0:01,0:03,,1,3,,4,12,,8,,8,,,
,,0:07,0:09,,7,9,,28,36,,8,,,,,
,,2:50,2:51,,170,171,,680,684,,4,,,,,
,,2:58,3:01,,178,181,,712,724,,12,,,,,
5,5,0:09,0:11,,9,11,,36,44,,8,,8,,,
,,0:39,0:41,,39,41,,156,164,,8,,,,,
,,0:49,0:51,,49,51,,196,204,,8,,,,,
,,1:06,1:09,,66,69,,264,276,,12,,,,,
,,2:35,2:37,,155,157,,620,628,,8,,,,,
,,3:12,3:13,,192,193,,768,772,,4,,,,,
,,3:28,3:30,,208,210,,832,840,,8,,,,,
5,6,0:11,0:13,,11,13,,44,52,,8,,10.33333333,,,
,,0:21,0:23,,21,23,,84,92,,8,,,,,
,,0:32,0:36,,32,36,,128,144,,16,,,,,
,,1:05,1:08,,65,68,,260,272,,12,,,,,
,,1:09,1:11,,69,71,,276,284,,8,,,,,
,,1:44,1:46,,104,106,,416,424,,8,,,,,
,,2:07,2:08,,127,128,,508,512,,4,,,,,
,,2:13,2:17,,133,137,,532,548,,16,,,,,
,,2:15,2:17,,135,137,,540,548,,8,,,,,
,,2:19,2:22,,139,142,,556,568,,12,,,,,
