15 min light on (5:40) 5 min light off (),,,,,0 top ,,,340,,,,,,,,
row ,column ,entry time ,exit time,,in video seconds,,,normalized ,,,in time seconds,,,sub time,,mean
,,4:52,4:59,,292,299,,0.8588235294,0.8794117647,,772.9411765,791.4705882,,18.52941176,,
,,5:01,5:08,,301,308,,0.8852941176,0.9058823529,,796.7647059,815.2941176,,18.52941176,,
,,5:03,5:04,,303,304,,0.8911764706,0.8941176471,,802.0588235,804.7058824,,2.647058824,,
,,5:09,5:11,,309,311,,0.9088235294,0.9147058824,,817.9411765,823.2352941,,5.294117647,,
,,5:13,5:15,,313,315,,0.9205882353,0.9264705882,,828.5294118,833.8235294,,5.294117647,,
,,5:13,5:16,,313,316,,0.9205882353,0.9294117647,,828.5294118,836.4705882,,7.941176471,,
4,8,0:00,0:04,,0,4,,0,0.01176470588,,0,10.58823529,,10.58823529,,10.14705882
,,0:00,0:05,,0,5,,0,0.01470588235,,0,13.23529412,,13.23529412,,
,,0:08,0:12,,8,12,,0.02352941176,0.03529411765,,21.17647059,31.76470588,,10.58823529,,
,,0:32,0:35,,32,35,,0.09411764706,0.1029411765,,84.70588235,92.64705882,,7.941176471,,
